INFO:drake:Meshcat listening for connections at http://localhost:7000
WARNING:drake:warning: Warning: In vtkGLTFDocumentLoaderInternals.cxx, line 1354: vtkGLTFDocumentLoader (0x5f4e60cec710): glTF extension KHR_texture_basisu is used in this model, but not supported by this loader. The extension will be ignored.
/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/env_checker.py:462: UserWarning: We recommend you to use a symmetric and normalized Box action space (range=[-1, 1]) cf. https://stable-baselines3.readthedocs.io/en/master/guide/rl_tips.html
  warnings.warn(
/home/yyan-admin/yl43338/env/lib/python3.10/site-packages/stable_baselines3/common/env_checker.py:473: UserWarning: Your action space has dtype float64, we recommend using np.float32 to avoid cast errors.
  warnings.warn(
Creating PPO model...
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Total number of parameters: 392975
Logging to runs/0419/PPO_32
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 74       |
|    ep_rew_mean     | 59.1     |
| time/              |          |
|    fps             | 23       |
|    iterations      | 1        |
|    time_elapsed    | 85       |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.3        |
|    ep_rew_mean          | 55.6        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 2           |
|    time_elapsed         | 186         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.014214805 |
|    clip_fraction        | 0.0952      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.97       |
|    explained_variance   | -0.000316   |
|    learning_rate        | 0.0003      |
|    loss                 | 9.03        |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0203     |
|    std                  | 1.01        |
|    value_loss           | 27.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.5        |
|    ep_rew_mean          | 54.1        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 3           |
|    time_elapsed         | 278         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011635421 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.99       |
|    explained_variance   | 0.047       |
|    learning_rate        | 0.0003      |
|    loss                 | 15.7        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0202     |
|    std                  | 1.01        |
|    value_loss           | 55          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.6        |
|    ep_rew_mean          | 54          |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 4           |
|    time_elapsed         | 361         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.015588786 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.97       |
|    explained_variance   | 0.022       |
|    learning_rate        | 0.0003      |
|    loss                 | 23.7        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0316     |
|    std                  | 1           |
|    value_loss           | 62.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.1        |
|    ep_rew_mean          | 55.4        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 5           |
|    time_elapsed         | 442         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.009938657 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.95       |
|    explained_variance   | 0.106       |
|    learning_rate        | 0.0003      |
|    loss                 | 32.9        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0315     |
|    std                  | 1           |
|    value_loss           | 64.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.7        |
|    ep_rew_mean          | 56.4        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 6           |
|    time_elapsed         | 519         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.014402417 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.94       |
|    explained_variance   | -0.00047    |
|    learning_rate        | 0.0003      |
|    loss                 | 32.3        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0372     |
|    std                  | 1           |
|    value_loss           | 82.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.3        |
|    ep_rew_mean          | 73          |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 7           |
|    time_elapsed         | 605         |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.015431382 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.92       |
|    explained_variance   | 0.0582      |
|    learning_rate        | 0.0003      |
|    loss                 | 43.9        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0451     |
|    std                  | 0.997       |
|    value_loss           | 85.8        |
-----------------------------------------
-----------------------------------------
